生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
教室,jiào shì,phòng học,ห้องเรียน,classroom,考試開始以後，教室裡非常安靜。,Sau khi kỳ thi bắt đầu phòng học rất yên tĩnh.,หลังจากการสอบเริ่มขึ้น ห้องเรียนก็เงียบมาก,After the test began the classroom became very quiet.
安靜,ān jìng,yên tĩnh,เงียบ,quiet,同學們都在考試，所以教室裡很安靜。,Các bạn học đều đang thi nên trong lớp rất yên tĩnh.,เพื่อนร่วมชั้นทุกคนกำลังสอบ ดังนั้นในห้องเรียนจึงเงียบมาก,All the classmates are taking a test so the classroom is very quiet.
考試,kǎo shì,kỳ thi,การสอบ,exam,今天上午有中文考試，老師請大家不要說話。,Sáng nay có bài thi tiếng Trung giáo viên yêu cầu mọi người không nói chuyện.,เช้าวันนี้มีการสอบภาษาจีน ครูขอให้ทุกคนอย่าคุยกัน,There is a Chinese test this morning and the teacher asks everyone not to talk.
怎麼放,zěn me fàng,đặt thế nào,วางอย่างไร,how to place,學生不知道這些東西要怎麼放，就去問老師。,Học sinh không biết phải đặt những đồ này thế nào nên đi hỏi giáo viên.,นักเรียนไม่รู้ว่าของเหล่านี้ควรวางอย่างไร จึงไปถามครู,The students did not know how to place these things so they asked the teacher.
放一起,fàng yì qǐ,đặt cùng nhau,วางไว้ด้วยกัน,put together,老師說水果和水果要放一起，不要跟飲料放錯。,Giáo viên nói trái cây phải đặt cùng trái cây đừng đặt nhầm với đồ uống.,ครูบอกว่าผลไม้ต้องวางรวมกับผลไม้ อย่าวางปนกับเครื่องดื่ม,The teacher said fruit should be put together with fruit and not mixed up with drinks.
水果,shuǐ guǒ,trái cây,ผลไม้,fruit,桌上有很多水果，老師請學生把它們放在同一邊。,Trên bàn có nhiều trái cây giáo viên bảo học sinh đặt chúng ở cùng một bên.,บนโต๊ะมีผลไม้หลายอย่าง ครูให้นักเรียนวางไว้ด้านเดียวกัน,There is a lot of fruit on the table and the teacher asks the students to put it on the same side.
飲料,yǐn liào,đồ uống,เครื่องดื่ม,drink,這些飲料都要放進冰箱，下午活動的時候再拿出來。,Những đồ uống này đều phải bỏ vào tủ lạnh chiều hoạt động mới lấy ra.,เครื่องดื่มเหล่านี้ต้องใส่ตู้เย็นทั้งหมด แล้วค่อยเอาออกมาตอนกิจกรรมตอนบ่าย,These drinks should all be put in the refrigerator and taken out during the afternoon activity.
蛋糕,dàn gāo,bánh kem,เค้ก,cake,蛋糕不能和熱的東西放一起，不然會不好吃。,Bánh kem không thể đặt chung với đồ nóng nếu không sẽ không ngon.,เค้กไม่ควรวางรวมกับของร้อน ไม่อย่างนั้นจะไม่อร่อย,The cake should not be put together with hot things or it will not taste good.
Ａ離Ｂ很近／遠,A lí B hěn jìn / yuǎn,A rất gần / xa B,A อยู่ใกล้ / ไกลจาก B,A is close to / far from B,小明在生活情境中看到Ａ離Ｂ很近／遠，所以停下來想了一下。,Tiểu Minh thấy A rất gần / xa B trong tình huống đời sống nên dừng lại suy nghĩ một chút.,เสี่ยวหมิงเห็นA อยู่ใกล้ / ไกลจาก Bในสถานการณ์ชีวิตประจำวัน จึงหยุดคิดสักครู่,Xiaoming saw A is close to / far from B in a daily life situation so he stopped and thought for a moment.
搬家,bān jiā,chuyển nhà,ย้ายบ้าน,to move house,樓上的人每天晚上開電視很大聲，所以小華決定搬家。,Người ở tầng trên mỗi tối mở ti vi rất lớn nên Tiểu Hoa quyết định chuyển nhà.,คนชั้นบนเปิดทีวีเสียงดังทุกคืน เสี่ยวหัวจึงตัดสินใจย้ายบ้าน,The people upstairs turn the TV on loudly every night so Xiaohua decided to move.
